TeamID,GameID,1stDowns,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYDs,PassTDs,Ints,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,Turnovers,Penalties,PenaltyYDs,3rdM,3rdAtt,4thM,4thAtt,TOP,Q1,Q2,Q3,Q4,OT,URL
GNB,,24,19,108,0,28,38,246,4,0,3,23,223,331,1,0,0,6,68,6,10,0,1,31:17,7,17,0,8,,http://www.pro-football-reference.com/boxscores/201610300atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
ATL,,25,19,90,1,28,35,288,3,0,2,11,277,367,0,0,0,7,46,4,9,1,1,28:43,10,9,7,7,,http://www.pro-football-reference.com/boxscores/201610300atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
PHI,,21,24,97,1,32,44,202,1,0,3,8,194,291,4,1,1,5,40,6,15,0,0,33:15,3,10,7,3,23,http://www.pro-football-reference.com/boxscores/201610300dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DAL,,26,34,187,1,19,40,287,2,1,2,14,273,460,2,0,1,11,84,4,14,2,2,33:57,7,3,3,10,29,http://www.pro-football-reference.com/boxscores/201610300dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
MIN,,15,18,57,0,23,37,228,1,0,5,27,201,258,2,0,0,1,10,2,13,2,2,27:19,0,3,0,7,,http://www.pro-football-reference.com/boxscores/201610310chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CHI,,19,29,158,1,20,31,252,1,0,1,7,245,403,0,0,0,2,20,7,14,0,0,32:41,3,10,7,0,,http://www.pro-football-reference.com/boxscores/201610310chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
ATL,,31,34,136,1,25,34,344,4,0,2,19,325,461,3,1,1,6,34,6,10,0,0,33:28,10,10,13,10,,http://www.pro-football-reference.com/boxscores/201611030tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TAM,,23,20,70,0,33,48,336,4,0,2,10,326,396,2,2,2,11,85,8,14,1,2,26:32,7,7,0,14,,http://www.pro-football-reference.com/boxscores/201611030tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NYJ,,18,21,140,1,18,29,213,1,2,3,22,191,331,3,0,2,10,77,3,11,0,0,29:38,10,3,0,10,,http://www.pro-football-reference.com/boxscores/201611060mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
MIA,,20,32,137,1,17,29,149,1,0,1,12,137,274,3,0,0,8,86,5,11,0,1,30:22,7,7,6,7,,http://www.pro-football-reference.com/boxscores/201611060mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JAX,,25,32,205,0,22,41,252,2,1,2,8,244,449,3,3,4,5,46,5,13,0,2,29:39,0,7,0,7,,http://www.pro-football-reference.com/boxscores/201611060kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
KAN,,10,22,62,0,20,33,187,1,0,2,18,169,231,0,0,0,8,75,1,14,1,1,30:21,7,3,6,3,,http://www.pro-football-reference.com/boxscores/201611060kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
PHI,,21,25,96,2,27,47,364,0,2,2,17,347,443,1,0,2,4,43,3,15,1,4,32:40,3,7,7,6,,http://www.pro-football-reference.com/boxscores/201611060nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NYG,,16,24,54,0,22,36,257,4,2,1,9,248,302,1,0,2,5,30,4,13,0,1,27:20,14,7,7,0,,http://www.pro-football-reference.com/boxscores/201611060nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
