Team,1st Downs,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYds,PassTDs,INT,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,TotalTurnovers,Penalties,PenaltyYDs,3rdMade,3rdAtt,4thMade,4thAtt,TOP,Q1pts,Q2pts,Q3pts,Q4pts,OTpts,URL
BUF,13,33,148,0,17,27,158,1,0,4,26,132,280,1,0,0,5,44,5,16,0,1,33:16:00,0,12,10,0,null,http://www.pro-football-reference.com/boxscores/201511120nyj.htm
NYJ,15,24,128,0,15,34,193,2,2,1,3,190,318,2,2,4,3,20,3,13,1,3,26:44:00,3,0,7,7,null,http://www.pro-football-reference.com/boxscores/201511120nyj.htm
BUF,18,32,152,1,19,36,268,1,1,1,8,260,412,2,1,2,15,101,6,16,0,0,35:02:00,7,3,10,0,null,http://www.pro-football-reference.com/boxscores/201512130phi.htm
PHI,20,34,116,1,23,38,247,1,1,1,15,232,348,0,0,1,5,55,9,18,0,0,24:58:00,7,10,3,3,null,http://www.pro-football-reference.com/boxscores/201512130phi.htm
BUF,13,28,127,1,11,18,113,1,0,4,31,82,209,2,1,1,7,62,4,12,0,0,24:29:00,0,0,7,7,null,http://www.pro-football-reference.com/boxscores/201510110oti.htm
TEN,17,28,97,1,21,32,187,0,1,2,8,179,276,0,0,1,9,74,5,13,0,0,35:31:00,0,3,7,3,null,http://www.pro-football-reference.com/boxscores/201510110oti.htm
BUF,21,31,240,1,16,27,235,2,0,5,23,212,452,1,0,0,8,56,5,13,1,3,30:56:00,0,0,17,8,null,http://www.pro-football-reference.com/boxscores/201512200was.htm
WAS,23,27,123,1,22,28,319,4,0,1,11,308,431,1,1,1,5,6,7,11,0,0,29:04:00,7,14,7,7,null,http://www.pro-football-reference.com/boxscores/201512200was.htm
CAR,18,20,155,1,17,30,142,0,0,2,29,113,268,1,1,1,4,40,4,10,0,1,24:22:00,7,0,3,3,null,http://www.pro-football-reference.com/boxscores/201512270atl.htm
ATL,21,30,77,1,23,30,306,1,0,2,10,296,373,2,1,1,3,20,9,15,0,0,35:38:00,0,7,7,6,null,http://www.pro-football-reference.com/boxscores/201512270atl.htm
CAR,18,37,129,1,16,27,183,0,0,1,18,165,294,1,0,0,8,53,8,16,0,0,35:14:00,10,13,7,3,null,http://www.pro-football-reference.com/boxscores/201511260dal.htm
DAL,14,14,31,0,24,40,199,1,3,2,20,179,210,0,0,3,5,40,6,13,0,1,24:46:00,3,0,3,8,null,http://www.pro-football-reference.com/boxscores/201511260dal.htm
CAR,21,27,118,1,18,41,265,0,1,7,68,197,315,4,3,4,12,102,3,15,0,0,32:47:00,0,7,0,3,null,http://www.pro-football-reference.com/boxscores/201602070den.htm
DEN,11,28,90,1,13,23,141,0,1,5,37,104,194,3,1,2,6,51,1,14,0,0,27:13:00,10,3,3,8,null,http://www.pro-football-reference.com/boxscores/201602070den.htm
CAR,17,35,105,0,18,31,175,1,1,2,17,158,263,0,0,1,3,22,8,17,1,1,34:06:00,3,7,7,3,null,http://www.pro-football-reference.com/boxscores/201509130jax.htm
JAX,18,21,96,0,22,40,183,1,2,5,14,169,265,1,1,3,3,25,3,12,1,2,25:54:00,3,6,0,0,null,http://www.pro-football-reference.com/boxscores/201509130jax.htm
