Tom Flores
Dick Flowers
Doug Flutie
Matt Flynn
Nick Foles
Glenn Foley
Brendan Folmar
John Fourcade
Dan Fouts+
Jeff Francis
Joe Francis
Josh Freeman
Jesse Freitas
Jesse Freitas
Gus Frerotte
John Friesz
Charlie Frye
Steve Fuller
Will Furrer
Chuck Fusina

G

Blaine Gabbert
Roman Gabriel
Jim Gaffney
Bob Gagliano
Arnie Galiffa
Chon Gallegos
John Galvin
Bob Gambold
Rich Gannon
Jeff Garcia
Bill Garnaas
Jimmy Garoppolo
David Garrard
Bobby Garrett
Jason Garrett
Sammy Garza
Joe Gasparella
Don Gault
Doug Gaynor
Stan Gelbaugh
Jeff George
Joe Germaine
Sonny Gibbs
Wayne Gift
Gale Gilbert
Garrett Gilbert
Joe Gilliam
Willie Gillus
Harry Gilmer
Scotty Glacken
Bill Glenn
Mike Glennon
Brad Goebel
Jerry Golsteyn
Pete Gonzalez
Paul Governali
Bruce Gradkowski
Neil Graff
Kent Graham
Otto Graham+
Quinn Gray
Garrett Grayson
Tony Graziani
Elvis Grbac
Charlie Green
Johnny Green
Trent Green
Tom Greene
Chris Greisen
Bob Griese+
Brian Griese
Robert Griffin
Ryan Griffin
Glynn Griffing
Steve Grogan
Lee Grosscup
Rex Grossman
Roger Grove
Scott Gudmundson
Ralph Guglielmi
Matt Gutierrez

H

Pat Haden
John Hadl
Andy Hall
Galen Hall
Max Hall
Shawn Halloran
Jim Haluska
Gibran Hamdan
Joe Hamilton
Kim Hammond
Caleb Hanie
Terry Hanratty
Jim Harbaugh
Bruce Hardy
Jim Hardy
Ed Hargett
Chandler Harnish
Graham Harrell
Joey Harrington
James Harris
Jim Hart
Leo Hart
Mark Hartsell
Matt Hasselbeck
Tim Hasselbeck
Stan Heath
Bobby Hebert
Randy Hedberg
Don Heinrich
Paul Held
Chad Henne
Dan Henning
Drew Henson
George Herring
Mark Herrmann
Rob Hertel
Bob Hewko
Rusty Hilger
King Hill
Shaun Hill
Grassy Hinton
Eric Hipple
Buckets Hirsch
Billy Joe Hobert
Tom Hodson
Gary Hogeboom
Mike Hohensee
Kelly Holcomb
Mike Hold
Donald Hollas
Ken Holley
Bob Holly
Todd Hons
Dick Horn
Don Horn
Marty Horn
Paul Hornung+
Jeff Hostetler
Bill Houle
Brian Hoyer
Bobby Hoying
Brock Huard
Damon Huard
John Huarte
Doug Hudson
Gary Huff
Vern Huffman
John Hufnagel
David Humm
Buddy Humphrey
Stan Humphries
Scott Hunter
Todd Husak
Bill Hutchinson
Chad Hutchinson

I

Kevin Ingram
George Izo

J

Jarious Jackson
Tarvaris Jackson
Jack Jacobs
Dick Jamieson
Ron Jaworski
David Jaynes
Neal Jeffrey
Jimmy Jemail
Jim Jensen
Steve Joachim
Al Johnson
Brad Johnson
Charley Johnson
Doug Johnson
Gil Johnson
Jerrod Johnson
Josh Johnson
Randy Johnson
Rob Johnson
Bert Jones
J.J. Jones
June Jones
Landry Jones
Bill Joyce
