Player,Tm,Int,Yds,TD,Lng,Sk,Tkl,Ast,FR,Yds,TD,FF,
T.J. Barnes,KAN,0,0,0,0,0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eric Berry,KAN,1,37,1,37,0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dee Ford,KAN,0,0,0,0,0,0,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tamba Hali,KAN,0,0,0,0,1,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Houston,KAN,0,0,0,0,1,4,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jarvis Jenkins,KAN,0,0,0,0,0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Derrick Johnson,KAN,0,0,0,0,0,9,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Terrance Mitchell,KAN,0,0,0,0,0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Steven Nelson,KAN,0,0,0,0,0,6,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Rakeem Nunez-Roches,KAN,0,0,0,0,0,0,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ron Parker,KAN,0,0,0,0,0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marcus Peters,KAN,0,0,0,0,0,1,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dontari Poe,KAN,0,0,0,0,0,3,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kendall Reyes,KAN,0,0,0,0,0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Daniel Sorensen,KAN,0,0,0,0,0,4,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ramik Wilson,KAN,0,0,0,0,0,8,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Frank Zombo,KAN,0,0,0,0,0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Robert Alford,ATL,0,0,0,0,0,2,0,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ricardo Allen,ATL,0,0,0,0,0,5,3,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jonathan Babineaux,ATL,0,0,0,0,0,1,1,0,0,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Vic Beasley,ATL,0,0,0,0,1,1,0,0,0,0,1,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
