Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,
Antonio Brown,PIT,0,0,,0,0,4,28,7.0,0,17,http://www.pro-football-reference.com/boxscores/201612110buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fitzgerald Toussaint,PIT,2,47,23.5,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,3,48,16.0,0,19,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201612110buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Patrick Peterson,ARI,0,0,,0,0,3,12,4.0,0,11,http://www.pro-football-reference.com/boxscores/201612110mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brittan Golden,ARI,1,23,23.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jarvis Landry,MIA,0,0,,0,0,4,52,13.0,0,20,http://www.pro-football-reference.com/boxscores/201612110mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kenyan Drake,MIA,2,44,22.0,0,22,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Marshall,NYJ,3,0,0.0,0,24,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201612110sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Kerley,SFO,0,0,,0,0,1,10,10.0,0,10,http://www.pro-football-reference.com/boxscores/201612110sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JaCorey Shepherd,SFO,1,20,20.0,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tommylee Lewis,NOR,1,19,19.0,0,19,1,6,6.0,0,6,http://www.pro-football-reference.com/boxscores/201612110tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Vernon Hargreaves,TAM,0,0,,0,0,3,15,5.0,0,12,http://www.pro-football-reference.com/boxscores/201612110tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Huff,TAM,1,0,0.0,0,0,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Lockett,SEA,5,136,27.2,0,32,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Micah Hyde,GNB,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201612110gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ty Montgomery,GNB,2,36,18.0,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Aldrick Robinson,ATL,1,16,16.0,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tavon Austin,LAR,0,0,,0,0,7,74,10.6,0,27,http://www.pro-football-reference.com/boxscores/201612110ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Thomas,LAR,6,118,19.7,0,41,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
