Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,
Ryan Succop,TEN,1,1,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brett Kern,TEN,,,,,3,142,47.3,54,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Prater,DET,1,1,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Martin,DET,,,,,5,217,43.4,51,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Tucker,BAL,2,2,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Koch,BAL,,,,,3,141,47.0,60,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Patrick Murray,CLE,2,3,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Britton Colquitt,CLE,,,,,5,226,45.2,52,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dustin Colquitt,KAN,,,,,6,285,47.5,57,http://www.pro-football-reference.com/boxscores/201609180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cairo Santos,KAN,,,4,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Novak,HOU,1,1,4,5,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Shane Lechler,HOU,,,,,5,249,49.8,62,http://www.pro-football-reference.com/boxscores/201609180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andrew Franks,MIA,3,3,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Darr,MIA,,,,,4,199,49.8,56,http://www.pro-football-reference.com/boxscores/201609180nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Stephen Gostkowski,NWE,4,4,1,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Allen,NWE,,,,,4,128,32.0,37,http://www.pro-football-reference.com/boxscores/201609180nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Nugent,CIN,1,1,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kevin Huber,CIN,,,,,9,407,45.2,55,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Boswell,PIT,3,3,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Berry,PIT,,,,,8,377,47.1,58,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
