Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,
Benny Cunningham,LAR,1,44,44.0,0,44,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Humphries,TAM,0,0,,0,0,2,26,13.0,0,13,http://www.pro-football-reference.com/boxscores/201609250tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eli Rogers,PIT,0,0,,0,0,1,3,3.0,0,3,http://www.pro-football-reference.com/boxscores/201609250phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sammie Coates,PIT,2,38,19.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fitzgerald Toussaint,PIT,1,20,20.0,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Darren Sproles,PHI,0,0,,0,0,2,16,8.0,0,14,http://www.pro-football-reference.com/boxscores/201609250phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Huff,PHI,1,23,23.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Travis Benjamin,SDG,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609250clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dexter McCluster,SDG,2,39,19.5,0,24,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Craig Mager,SDG,1,20,20.0,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Quan Bray,IND,1,18,18.0,0,18,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609250clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Todman,IND,1,15,15.0,0,15,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalin Marshall,NYJ,3,82,27.3,0,34,1,12,12.0,0,12,http://www.pro-football-reference.com/boxscores/201609250kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Quincy Enunwa,NYJ,1,54,54.0,0,54,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyreek Hill,KAN,2,21,10.5,0,16,2,29,14.5,0,19,http://www.pro-football-reference.com/boxscores/201609250kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eddie Royal,CHI,0,0,,0,0,2,17,8.5,0,9,http://www.pro-football-reference.com/boxscores/201609250dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Deonte Thompson,CHI,1,22,22.0,0,22,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609250dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lucky Whitehead,DAL,1,25,25.0,0,25,1,3,3.0,0,3,http://www.pro-football-reference.com/boxscores/201609250dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eric Weems,ATL,2,54,27.0,0,42,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609260nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
De'Vante Harris,NOR,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201609260nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jakeem Grant,MIA,1,18,18.0,0,18,3,13,4.3,0,11,http://www.pro-football-reference.com/boxscores/201609290cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Damien Williams,MIA,1,15,15.0,0,15,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609290cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kenyan Drake,MIA,1,17,17.0,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609290cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,0,0,,0,0,3,23,7.7,0,12,http://www.pro-football-reference.com/boxscores/201609290cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Jones,CIN,1,21,21.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201609290cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Quan Bray,IND,1,39,39.0,0,39,2,18,9.0,0,14,http://www.pro-football-reference.com/boxscores/201610020jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Todman,IND,1,28,28.0,0,28,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Rashad Greene,JAX,0,0,,0,0,2,12,6.0,0,12,http://www.pro-football-reference.com/boxscores/201610020jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Corey Grant,JAX,4,80,20.0,0,28,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Roberts,DET,3,71,23.7,0,31,2,100,50.0,1,85,http://www.pro-football-reference.com/boxscores/201610020chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eddie Royal,CHI,0,0,,0,0,3,17,5.7,0,8,http://www.pro-football-reference.com/boxscores/201610020chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Deonte Thompson,CHI,1,29,29.0,0,29,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalen Richard,OAK,3,66,22.0,0,26,3,72,24.0,0,47,http://www.pro-football-reference.com/boxscores/201610020rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TJ Carrie,OAK,0,0,,0,0,1,18,18.0,0,18,http://www.pro-football-reference.com/boxscores/201610020rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Devin Hester,BAL,4,123,30.8,0,60,3,42,14.0,0,20,http://www.pro-football-reference.com/boxscores/201610020rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,0,0,,0,0,3,18,6.0,0,18,http://www.pro-football-reference.com/boxscores/201610020nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Danny Amendola,NWE,0,0,,0,0,3,4,1.3,0,5,http://www.pro-football-reference.com/boxscores/201610020nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cyrus Jones,NWE,2,30,15.0,0,18,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201610020nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marc Mariani,TEN,4,99,24.8,0,33,3,27,9.0,0,17,http://www.pro-football-reference.com/boxscores/201610020htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Antonio Andrews,TEN,1,17,17.0,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Ervin,HOU,1,28,28.0,0,28,2,17,8.5,0,16,http://www.pro-football-reference.com/boxscores/201610020htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Will Fuller,HOU,0,0,,0,0,1,67,67.0,1,67,http://www.pro-football-reference.com/boxscores/201610020htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Lockett,SEA,0,0,,0,0,2,8,4.0,0,7,http://www.pro-football-reference.com/boxscores/201610020nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cassius Marsh,SEA,1,7,7.0,0,7,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
C.J. Spiller,SEA,1,22,22.0,0,22,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Ross,NYJ,1,27,27.0,0,27,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ted Ginn,CAR,2,65,32.5,0,42,2,16,8.0,0,8,http://www.pro-football-reference.com/boxscores/201610020atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eric Weems,ATL,1,0,0.0,0,0,3,25,8.3,0,18,http://www.pro-football-reference.com/boxscores/201610020atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Hardy,ATL,1,32,32.0,0,32,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Duke Johnson,CLE,0,0,,0,0,1,18,18.0,0,18,http://www.pro-football-reference.com/boxscores/201610020was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Poyer,CLE,0,0,,0,0,1,2,2.0,0,2,http://www.pro-football-reference.com/boxscores/201610020was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
George Atkinson,CLE,1,17,17.0,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Thompson,WAS,1,26,26.0,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tavon Austin,LAR,0,0,,0,0,1,47,47.0,0,47,http://www.pro-football-reference.com/boxscores/201610020crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Benny Cunningham,LAR,1,26,26.0,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
John Brown,ARI,0,0,,0,0,3,23,7.7,0,19,http://www.pro-football-reference.com/boxscores/201610020crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Ellington,ARI,2,38,19.0,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Norwood,DEN,0,0,,0,0,2,12,6.0,0,12,http://www.pro-football-reference.com/boxscores/201610020tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Humphries,TAM,0,0,,0,0,3,37,12.3,0,15,http://www.pro-football-reference.com/boxscores/201610020tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Smith,TAM,2,27,13.5,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tommylee Lewis,NOR,0,0,,0,0,2,12,6.0,0,7,http://www.pro-football-reference.com/boxscores/201610020sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Travaris Cadet,NOR,2,49,24.5,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Travis Benjamin,SDG,0,0,,0,0,3,30,10.0,0,18,http://www.pro-football-reference.com/boxscores/201610020sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dexter McCluster,SDG,2,51,25.5,0,30,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lucky Whitehead,DAL,1,28,28.0,0,28,2,25,12.5,0,14,http://www.pro-football-reference.com/boxscores/201610020sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Kerley,SFO,0,0,,0,0,1,26,26.0,0,26,http://www.pro-football-reference.com/boxscores/201610020sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Davis,SFO,1,12,12.0,0,12,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Davis,SFO,1,23,23.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyreek Hill,KAN,2,54,27.0,0,33,2,20,10.0,0,14,http://www.pro-football-reference.com/boxscores/201610020pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Knile Davis,KAN,3,51,17.0,0,30,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610020pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Antonio Brown,PIT,0,0,,0,0,1,4,4.0,0,4,http://www.pro-football-reference.com/boxscores/201610020pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,3,94,31.3,0,44,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201610030min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marcus Sherels,MIN,0,0,,0,0,2,13,6.5,0,8,http://www.pro-football-reference.com/boxscores/201610030min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cordarrelle Patterson,MIN,1,29,29.0,0,29,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610030min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Laquon Treadwell,MIN,1,0,0.0,0,0,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610030min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
John Brown,ARI,0,0,,0,0,4,25,6.3,0,10,http://www.pro-football-reference.com/boxscores/201610060sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JJ Nelson,ARI,2,53,26.5,0,39,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610060sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Kerley,SFO,0,0,,0,0,3,0,0.0,0,3,http://www.pro-football-reference.com/boxscores/201610060sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Davis,SFO,2,31,15.5,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610060sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Deonte Thompson,CHI,3,73,24.3,0,32,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Quan Bray,IND,2,52,26.0,0,39,1,20,20.0,0,20,http://www.pro-football-reference.com/boxscores/201610090clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Todman,IND,1,21,21.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Ross,NYJ,1,25,25.0,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Antonio Brown,PIT,0,0,,0,0,2,51,25.5,0,33,http://www.pro-football-reference.com/boxscores/201610090pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sammie Coates,PIT,1,23,23.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Julian Edelman,NWE,1,9,9.0,0,9,2,12,6.0,0,12,http://www.pro-football-reference.com/boxscores/201610090cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Devin McCourty,NWE,1,9,9.0,0,9,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Duke Johnson,CLE,0,0,,0,0,2,20,10.0,0,12,http://www.pro-football-reference.com/boxscores/201610090cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Joe Haden,CLE,0,0,,0,0,1,5,5.0,0,5,http://www.pro-football-reference.com/boxscores/201610090cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tracy Howard,CLE,4,63,15.8,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Darren Sproles,PHI,0,0,,0,0,1,6,6.0,0,6,http://www.pro-football-reference.com/boxscores/201610090det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Huff,PHI,1,17,17.0,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Roberts,DET,2,33,16.5,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marc Mariani,TEN,1,20,20.0,0,20,4,20,5.0,0,9,http://www.pro-football-reference.com/boxscores/201610090mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jakeem Grant,MIA,2,47,23.5,0,26,1,74,74.0,1,74,http://www.pro-football-reference.com/boxscores/201610090mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jarvis Landry,MIA,0,0,,0,0,1,12,12.0,0,12,http://www.pro-football-reference.com/boxscores/201610090mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jamison Crowder,WAS,0,0,,0,0,2,89,44.5,1,85,http://www.pro-football-reference.com/boxscores/201610090rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Will Blackmon,WAS,1,45,45.0,0,45,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Devin Hester,BAL,1,19,19.0,0,19,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201610090rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Ervin,HOU,2,53,26.5,0,33,2,33,16.5,0,18,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Will Fuller,HOU,0,0,,0,0,1,14,14.0,0,14,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Braxton Miller,HOU,1,15,15.0,0,15,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marcus Sherels,MIN,1,17,17.0,0,17,4,100,25.0,1,79,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cordarrelle Patterson,MIN,1,17,17.0,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Charles Johnson,MIN,1,16,16.0,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eric Weems,ATL,1,17,17.0,0,17,1,7,7.0,0,7,http://www.pro-football-reference.com/boxscores/201610090den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Norwood,DEN,0,0,,0,0,1,17,17.0,0,17,http://www.pro-football-reference.com/boxscores/201610090den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cody Latimer,DEN,3,65,21.7,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,4,90,22.5,0,27,2,-2,-1.0,0,0,http://www.pro-football-reference.com/boxscores/201610090ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tavon Austin,LAR,0,0,,0,0,2,2,1.0,0,5,http://www.pro-football-reference.com/boxscores/201610090ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Thomas,LAR,3,62,20.7,0,22,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pharoh Cooper,LAR,1,23,23.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Jones,CIN,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201610090dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,2,46,23.0,0,24,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Rex Burkhead,CIN,1,23,23.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lucky Whitehead,DAL,2,45,22.5,0,30,2,10,5.0,0,10,http://www.pro-football-reference.com/boxscores/201610090dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dexter McCluster,SDG,4,75,18.8,0,20,2,15,7.5,0,9,http://www.pro-football-reference.com/boxscores/201610090rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,3,103,34.3,0,42,1,6,6.0,0,6,http://www.pro-football-reference.com/boxscores/201610090gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bobby Rainey,NYG,1,37,37.0,0,37,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Trevor Davis,GNB,0,0,,0,0,1,3,3.0,0,3,http://www.pro-football-reference.com/boxscores/201610090gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeff Janis,GNB,1,18,18.0,0,18,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ty Montgomery,GNB,1,24,24.0,0,24,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610090gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Humphries,TAM,0,0,,0,0,1,12,12.0,0,12,http://www.pro-football-reference.com/boxscores/201610100car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ted Ginn,CAR,1,21,21.0,0,21,2,6,3.0,0,6,http://www.pro-football-reference.com/boxscores/201610100car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Norwood,DEN,2,46,23.0,0,27,2,16,8.0,0,10,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Aqib Talib,DEN,0,0,,0,0,1,1,1.0,0,1,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dexter McCluster,SDG,0,0,,0,0,3,28,9.3,0,16,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Travis Benjamin,SDG,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Griff Whalen,SDG,1,12,12.0,0,12,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kenny Wiggins,SDG,1,0,0.0,0,0,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Duke Johnson,CLE,0,0,,0,0,2,6,3.0,0,6,http://www.pro-football-reference.com/boxscores/201610160oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
George Atkinson,CLE,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610160oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marc Mariani,TEN,0,0,,0,0,5,30,6.0,0,10,http://www.pro-football-reference.com/boxscores/201610160oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,2,42,21.0,0,26,2,12,6.0,0,11,http://www.pro-football-reference.com/boxscores/201610160nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Rex Burkhead,CIN,1,15,15.0,0,15,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610160nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Julian Edelman,NWE,1,16,16.0,0,16,3,49,16.3,0,23,http://www.pro-football-reference.com/boxscores/201610160nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
D.J. Foster,NWE,1,30,30.0,0,30,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610160nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tavon Austin,LAR,0,0,,0,0,1,2,2.0,0,2,http://www.pro-football-reference.com/boxscores/201610160det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Benny Cunningham,LAR,2,39,19.5,0,22,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610160det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Roberts,DET,2,44,22.0,0,27,1,4,4.0,0,4,http://www.pro-football-reference.com/boxscores/201610160det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Kerley,SFO,1,20,20.0,0,20,1,12,12.0,0,12,http://www.pro-football-reference.com/boxscores/201610160buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Keshawn Martin,SFO,2,37,18.5,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610160buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Torrey Smith,SFO,1,13,13.0,0,13,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610160buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,0,0,,0,0,2,16,8.0,0,13,http://www.pro-football-reference.com/boxscores/201610160buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lardarius Webb,BAL,0,0,,0,0,1,3,3.0,0,3,http://www.pro-football-reference.com/boxscores/201610160nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Moore,BAL,1,26,26.0,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610160nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,0,0,,0,0,3,11,3.7,0,6,http://www.pro-football-reference.com/boxscores/201610160nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Gilbert,PIT,2,37,18.5,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610160mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fitzgerald Toussaint,PIT,1,20,20.0,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201610160mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jarvis Landry,MIA,0,0,,0,0,1,11,11.0,0,11,http://www.pro-football-reference.com/boxscores/201610160mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jakeem Grant,MIA,0,0,,0,0,1,15,15.0,0,15,http://www.pro-football-reference.com/boxscores/201610160mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
