"","Name","Tm","Week","RushAtt","RushYds","RushTD","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"26","Duke Johnson","CLE",4,9,53,0,8,6,31,0,8.4,8.4,2016
"27","Todd Gurley","LAR",4,19,33,0,5,5,49,0,8.2,8.2,2016
"28","Paul Perkins","NYG",4,2,8,0,3,2,72,0,8,8,2016
"29","Bilal Powell","NYJ",4,4,26,0,9,6,54,0,8,8,2016
"30","Matt Asiata","MIN",4,6,6,1,2,2,12,0,7.8,7.8,2016
"31","CJ Spiller","SEA",4,2,12,0,3,2,5,1,7.7,7.7,2016
"32","Jeremy Hill","CIN",4,21,71,0,1,0,0,0,7.1,7.1,2016
"33","DeAngelo Williams","PIT",4,4,7,1,1,1,2,0,6.9,6.9,2016
"34","Bobby Rainey","NYG",4,4,22,0,9,7,43,0,6.5,6.5,2016
"35","James White","NE",4,4,12,0,5,5,50,0,6.2,6.2,2016
"36","LeGarrette Blount","NE",4,13,54,0,3,3,4,0,5.8,5.8,2016
"37","Theo Riddick","DET",4,11,31,0,7,4,27,0,5.8,5.8,2016
"38","Kyle Juszczyk","BAL",4,0,0,0,7,6,56,0,5.6,5.6,2016
"39","Jay Ajayi","MIA",4,6,33,0,2,2,13,0,4.6,4.6,2016
"40","DeAndre Washington","OAK",4,5,30,0,3,3,16,0,4.6,4.6,2016
"41","Matt Forte","NYJ",4,14,27,0,3,2,16,0,4.3,4.3,2016
"42","Mike Gillislee","BUF",4,6,30,0,2,1,13,0,4.3,4.3,2016
"43","Giovani Bernard","CIN",4,10,18,0,4,3,24,0,4.2,4.2,2016
"44","Charles Sims","TB",4,15,28,0,3,2,7,0,3.5,3.5,2016
"45","Chris Johnson","ARI",4,6,34,0,1,0,0,0,3.4,3.4,2016
"46","Alfred Morris","DAL",4,7,34,0,0,0,0,0,3.4,3.4,2016
"47","Zach Zenner","DET",4,3,12,0,1,1,22,0,3.4,3.4,2016
"48","Tevin Coleman","ATL",4,8,19,0,4,3,14,0,3.3,3.3,2016
"49","Josh Ferguson","IND",4,3,-2,0,10,7,33,0,3.1,3.1,2016
"50","Devontae Booker","DEN",4,7,30,0,1,0,0,0,3,3,2016
"51","Chris Ivory","JAC",4,8,29,0,1,0,0,0,2.9,2.9,2016
"210","Jacquizz Rodgers","TB",4,6,25,0,2,1,4,0,2.9,2.9,2016
"310","Javorius Allen","BAL",4,3,13,0,3,2,15,0,2.8,2.8,2016
"410","Latavius Murray","OAK",4,8,19,0,2,2,5,0,2.4,2.4,2016
"52","Alfred Blue","HOU",4,3,19,0,1,1,4,0,2.3,2.3,2016
"61","Jalen Richard","OAK",4,2,15,0,3,1,5,0,2,2,2016
"71","Daniel Lasco","NO",4,4,12,0,2,1,7,0,1.9,1.9,2016
"81","Patrick DiMarco","ATL",4,0,0,0,2,1,18,0,1.8,1.8,2016
"91","Lance Dunbar","DAL",4,1,2,0,2,2,14,0,1.6,1.6,2016
"101","Brandon Bolden","NE",4,0,0,0,3,2,15,0,1.5,1.5,2016
"111","Kenyan Drake","MIA",4,2,15,0,0,0,0,0,1.5,1.5,2016
"121","Damien Williams","MIA",4,2,9,0,2,1,6,0,1.5,1.5,2016
"131","Kapri Bibbs","DEN",4,3,14,0,0,0,0,0,1.4,1.4,2016
"141","Dwayne Washington","DET",4,2,6,0,1,1,8,0,1.4,1.4,2016
"151","Cameron ArtisPayne","CAR",4,6,12,0,0,0,0,0,1.2,1.2,2016
"161","Knile Davis","KC",4,1,-2,0,3,2,14,0,1.2,1.2,2016
"171","Tim Hightower","NO",4,4,11,0,0,0,0,0,1.1,1.1,2016
"181","Dexter McCluster","SD",4,1,2,0,3,2,9,0,1.1,1.1,2016
"191","Isaiah Pead","MIA",4,3,5,0,1,1,6,0,1.1,1.1,2016
"201","Derrick Henry","TEN",4,3,9,0,0,0,0,0,0.9,0.9,2016
"211","Shaun Draughn","SF",4,2,5,0,1,1,3,0,0.8,0.8,2016
"221","Jamaal Charles","KC",4,2,7,0,1,0,0,0,0.7,0.7,2016
"231","Jerome Felton","BUF",4,1,2,0,1,1,5,0,0.7,0.7,2016
"241","Joique Bell","CHI",4,3,6,0,0,0,0,0,0.6,0.6,2016
"251","Zach Line","MIN",4,3,6,0,0,0,0,0,0.6,0.6,2016
"261","Jay Prosch","HOU",4,1,0,0,1,1,6,0,0.6,0.6,2016
"271","Robert Turbin","IND",4,1,2,0,3,2,3,0,0.5,0.5,2016
"281","Andre Ellington","ARI",4,1,0,0,1,1,4,0,0.4,0.4,2016
"291","Rob Kelley","WAS",4,1,4,0,0,0,0,0,0.4,0.4,2016
"301","Alex Collins","SEA",4,1,1,0,0,0,0,0,0.1,0.1,2016
"311","Jamize Olawale","OAK",4,1,0,0,0,0,0,0,0,0,2016
"321","Mike Tolbert","CAR",4,1,1,0,1,1,-2,0,-0.1,-0.1,2016
