"","Name","Tm","Week","Target","Rec","RecYds","RecTD","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"28","DeSean Jackson","WAS",1,10,6,102,0,0,0,0,10.2,10.2,2016
"29","Eric Decker","NYJ",1,7,2,37,1,0,0,0,9.7,9.7,2016
"30","Victor Cruz","NYG",1,4,4,34,1,0,0,0,9.4,9.4,2016
"31","Phillip Dorsett","IND",1,6,4,94,0,0,0,0,9.4,9.4,2016
"32","Jordy Nelson","GB",1,9,6,32,1,0,0,0,9.2,9.2,2016
"33","Brandon LaFell","CIN",1,4,4,91,0,0,0,0,9.1,9.1,2016
"34","Michael Crabtree","OAK",1,9,7,87,0,0,0,0,8.7,8.7,2016
"35","Marvin Jones","DET",1,10,4,85,0,0,0,0,8.5,8.5,2016
"36","Julian Edelman","NE",1,7,7,66,0,3,16,0,8.2,8.2,2016
"37","TY Hilton","IND",1,12,6,79,0,0,0,0,7.9,7.9,2016
"38","Seth Roberts","OAK",1,4,2,19,1,0,0,0,7.9,7.9,2016
"39","Tajae Sharpe","TEN",1,11,7,76,0,0,0,0,7.6,7.6,2016
"40","Allen Hurns","JAC",1,5,4,75,0,0,0,0,7.5,7.5,2016
"41","Odell Beckham Jr","NYG",1,8,4,73,0,0,0,0,7.3,7.3,2016
"42","Allen Robinson","JAC",1,15,6,72,0,0,0,0,7.2,7.2,2016
